club	turnover 2018	turnover 2017	wage bill 2018	wage bill 2017	profit before tax 2018	profit before tax 2017	finishing position 2019	finishing postion 2018	finishing position 2017	wage turn over ratio	w/t order	points 2018	points current	goal difference 2018	won 2018	draw 2018	loss 2018
Manchester City	500000000	473000000	260000000	264000000	10000000	0	1	1	3	0.52	4	100	0	79			
Manchester United	590000000	581000000	296000000	263000000	26000000	57000000	6	2	6	0.5016949153	2	81	0	40			
Tottenham Hotspur	381000000	310000000	148000000	127000000	139000000	52000000	4	3	2	0.3884514436	1	77	0	38			
Liverpool	455000000	364000000	264000000	208000000	125000000	40000000	2	4	4	0.5802197802	8	75	0	46			
Chelsea	448000000	268000000	246000000	331000000	30000000	-14000000	3	5	1	0.5491071429	6	70	0	24			
Arsenal	403000000	424000000	240000000	199000000	70000000	45000000	5	6	5	0.5955334988	10	63	0	23			
Burnley	139000000	121000000	82000000	61000000	45000000	27000000	15	7		0.5899280576	9	54	0	-3			
Everton	189000000	171000000	145000000	105000000	-13000000	31000000	8	8	7	0.7671957672	19	49	0	-14			
Leicester City	159000000	233000000	119000000	113000000	2000000	92000000	9	9	12	0.748427673	17	47	0	-4			
Newcastle United	178000000	86000000	94000000	112000000	23000000	47000000	13	10		0.5280898876	5	44	0	-8			
Crystal Palace	150000000	143000000	117000000	112000000	-36000000	12000000	12	11	14	0.78	20	44	0	-10			
Bournemouth	135000000	136000000	102000000	72000000	-11000000	15000000	14	12	9	0.7555555556	18	44	0	-16			
West Ham United	175000000	183000000	107000000	95000000	18000000	43000000	10	13	11	0.6114285714	11	42	0	-20			
Watford	128000000	124000000	86000000	76000000	-32000000	3000000	11	14	17	0.671875	12	41	0	-20			
Brighton and Hove Albion	139000000	29000000	78000000	40000000	12000000	-39000000	17	15		0.5611510791	7	40	0	-20			
Huddersfield Town	125000000	16000000	63000000	22000000	30000000	-20000000	20	16		0.504	3	37	0	-30			
Southampton	153000000	182000000	113000000	112000000	35000000	42000000	16	17	8	0.7385620915	15	36	0	-19			
Swansea City	128000000	128000000	91000000	99000000	-3000000	13000000		18	15	0.7109375	13	33	0	-28			
Stoke City	127000000	136000000	94000000	85000000	-30000000	5000000		19	13	0.7401574803	16	33	0	-33			
West Bromwich Albion	125000000	138000000	92000000	79000000	-7000000	40000000		20	10	0.736	14	31	0	-25			
Wolverhampton Wanderers							7										
Cardiff City							18										
Fulham							19										